,,Date,Topic,Reading,Assignment
1,T,8/25,Welcome.  Getting your money's worth.,,
,W,8/26,Course Tools. Team Formation.,,
,R,8/27,Scala Crash Course: Basic Values and Types. Evaluation.,,
2,T,9/1,Recursion. Data Structures and Pattern Matching.,,
,W,9/2,Lab 1,,
,R,9/3,Recursion. Data Structures and Pattern Matching.,,Lab 1 due 9/5
3,T,9/8,Inductive Definitions.,,
,W,9/9,Lab 2,,
,R,9/10,Syntax: Grammars; Scoping; Binding.,,
4,T,9/15,Syntax: Grammars; Scoping; Binding.,,
,W,9/16,Lab 2,,
,R,9/17,Expression Evaluation.,,Lab  2 due 9/19
5,T,9/22,Operational Semantics.,,
,W,9/23,Lab 3,,
,R,9/24,Small-Step Semantics; Evaluation Order; and Short-Circuit Evaluation.Ê,,
6,T,9/29,Small-Step Semantics; Evaluation Order; and Short-Circuit Evaluation. Dynamic Scoping.,,
,W,9/30,Lab 3,,
,R,10/1,Small-Step Semantics; Evaluation Order; and Short-Circuit Evaluation. Dynamic Scoping.,,Lab 3 due 10/3
7,T,10/6,Midterm Review,,
,W,10/7,Midterm Review,,
,R,10/8,Midterm Exam,,
8,T,10/13,Collections and Callbacks (Higher-Order Functions),,
,W,10/14,Lab 4,,
,R,10/15,Type Checking; Records.Ê,,
9,T,10/20,Type Checking; Records.Ê,,
,W,10/21,Lab 4,,
,R,10/22,Type Checking; Records.Ê,,Lab 4 due 10/24
10,T,10/27,Variables and Pointers.,,
,W,10/28,Lab 5,,
,R,10/29,Procedural Abstraction.Ê,,
11,T,11/3,Variables and Pointers. Procedural Abstraction.,,
,W,11/4,Lab 5,,
,R,11/5,Variables and Pointers. Procedural Abstraction.,,Lab 5 due 11/7
12,T,11/10,Continuations and Regular Expressions.,,
,W,11/11,Lab 6,,
,R,11/12,Continuations and Regular Expressions.,,
13,T,11/17,"Parsing, Regular Expressions, and Continuations.",,
,W,11/18,Lab 6,,
,R,11/19,"Parsing, Regular Expressions, and Continuations.",,Lab 6 due 11/21
-,T,11/24,No class. Thanksgiving break.,,
,W,11/25,No class. Thanksgiving break.,,
,R,11/26,No class. Thanksgiving break.,,
14,T,12/1,Objects and Classes.,,
,W,12/2,Project,,
,R,12/3,Objects and Classes.,,
15,T,12/8,Objects and Classes.,,
,W,12/9,Final Review,,
,R,12/10,Final Review,,
,,,Final Exam,,
